Name,Type,Category,Power,PP,Accuracy,Description
"10,000,000 Volt Thunderbolt",Electric,Special,1,195,—,Pikachu-exclusive Z-Move. High critical hit ratio.
Absorb,Grass,Special,25,20,100%,User recovers half the HP inflicted on opponent.
Accelerock,Rock,Physical,20,40,100%,User attacks first.
Acid,Poison,Special,30,40,100%,May lower opponent's Special Defense.
Acid Armor,Poison,Status,20,—,—,Sharply raises user's Defense.
Acid Downpour,Poison,Physical,1,—,—,Poison type Z-Move.
Acid Spray,Poison,Special,20,40,100%,Sharply lowers opponent's Special Defense.
Acrobatics,Flying,Physical,15,55,100%,Stronger when the user does not have a held item.
Acupressure,Normal,Status,30,—,—,Sharply raises a random stat.
Aerial Ace,Flying,Physical,20,60,—,Ignores Accuracy and Evasiveness.
Aeroblast,Flying,Special,5,100,95%,High critical hit ratio.
After You,Normal,Status,15,—,—,Gives target priority in the next turn.
Agility,Psychic,Status,30,—,—,Sharply raises user's Speed.
Air Cutter,Flying,Special,25,60,95%,High critical hit ratio.
Air Slash,Flying,Special,15,75,95%,May cause flinching.
All-Out Pummeling,Fighting,Physical,1,—,—,Fighting type Z-Move.
Ally Switch,Psychic,Status,15,—,—,User switches with opposite teammate.
Amnesia,Psychic,Status,20,—,—,Sharply raises user's Special Defense.
Anchor Shot,Steel,Physical,20,80,100%,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Ancient Power,Rock,Special,5,60,100%,May raise all user's stats at once.
Apple Acid,Grass,Special,10,80,100%,Lowers target's Special Defense.
Aqua Jet,Water,Physical,20,40,100%,User attacks first.
Aqua Ring,Water,Status,20,—,—,Restores a little HP each turn.
Aqua Tail,Water,Physical,10,90,90%,
Arm Thrust,Fighting,Physical,20,15,100%,Hits 2-5 times in one turn.
Aromatherapy,Grass,Status,5,—,—,Cures all status problems in your party.
Aromatic Mist,Fairy,Status,20,—,—,Raises Special Defense of an ally.
Assist,Normal,Status,20,—,—,User performs a move known by its allies at random.
Assurance,Dark,Physical,10,60,100%,Power doubles if opponent already took damage in the same turn.
Astonish,Ghost,Physical,15,30,100%,May cause flinching.
Attack Order,Bug,Physical,15,90,100%,High critical hit ratio.
Attract,Normal,Status,15,—,100%,"If opponent is the opposite gender, it's less likely to attack."
Aura Sphere,Fighting,Special,20,80,—,Ignores Accuracy and Evasiveness.
Aura Wheel,Electric,Physical,10,110,100%,Changes type based on Morpeko's Mode.
Aurora Beam,Ice,Special,20,65,100%,May lower opponent's Attack.
Aurora Veil,Ice,Status,20,—,—,Halves damage from Physical and Special attacks for five turns.
Autotomize,Steel,Status,15,—,—,Reduces weight and sharply raises Speed.
Avalanche,Ice,Physical,10,60,100%,Power doubles if user took damage first.
Baby-Doll Eyes,Fairy,Status,30,—,100%,Always goes first. Lowers the target's attack.
Baddy Bad,Dark,Special,15,90,100%,Reduces damage from Physical attacks.
Baneful Bunker,Poison,Status,10,—,—,Protects the user and poisons opponent on contact.
Barrage,Normal,Physical,20,15,85%,Hits 2-5 times in one turn.
Barrier,Psychic,Status,20,—,—,Sharply raises user's Defense.
Baton Pass,Normal,Status,40,—,—,User switches out and gives stat changes to the incoming Pokémon.
Beak Blast,Flying,Physical,15,100,100%,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
Beat Up,Dark,Physical,10,—,100%,Each Pokémon in your party attacks.
Bloom Doom,Grass,Special,1,—,—,Grass type Z-Move.
Blue Flare,Fire,Special,5,130,85%,May burn opponent.
Body Press,Fighting,Physical,10,80,100%,"The higher the user's Defense, the stronger the attack."
Body Slam,Normal,Physical,15,85,100%,May paralyze opponent.
Bolt Beak,Electric,Physical,10,85,100%,"If the user attacks before the target, the power of this move is doubled."
Bolt Strike,Electric,Physical,5,130,85%,May paralyze opponent.
Bone Club,Ground,Physical,20,65,85%,May cause flinching.
Bone Rush,Ground,Physical,10,25,90%,Hits 2-5 times in one turn.
Bonemerang,Ground,Physical,10,50,90%,Hits twice in one turn.
Boomburst,Normal,Special,10,140,100%,Hits all adjacent Pokémon.
Bounce,Flying,Physical,5,85,85%,"Springs up on first turn, attacks on second. May paralyze opponent."
Bouncy Bubble,Water,Special,15,90,100%,User recovers half the HP inflicted on opponent.
Branch Poke,Grass,Physical,40,40,100%,
Brave Bird,Flying,Physical,15,120,100%,User receives recoil damage.
Breaking Swipe,Dragon,Physical,15,60,100%,Hits multiple opponents and lowers their attack.
Breakneck Blitz,Normal,Physical,1,—,—,Normal type Z-Move.
Brick Break,Fighting,Physical,15,75,100%,Breaks through Reflect and Light Screen barriers.
Brine,Water,Special,10,65,100%,Power doubles if opponent's HP is less than 50%.
Brutal Swing,Dark,Physical,20,60,100%,The user swings its body around violently to inflict damage on everything in its vicinity.
Bubble,Water,Special,30,40,100%,May lower opponent's Speed.
Bubble Beam,Water,Special,20,65,100%,May lower opponent's Speed.
Bug Bite,Bug,Physical,20,60,100%,Receives the effect from the opponent's held berry.
Bug Buzz,Bug,Special,10,90,100%,May lower opponent's Special Defense.
Bulk Up,Fighting,Status,20,—,—,Raises user's Attack and Defense.
Bulldoze,Ground,Physical,20,60,100%,Lowers opponent's Speed.
Bullet Punch,Steel,Physical,30,40,100%,User attacks first.
Bullet Seed,Grass,Physical,30,25,100%,Hits 2-5 times in one turn.
Burn Up,Fire,Special,5,130,100%,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
Burning Jealousy,Fire,Special,5,70,100%,"Hits all opponents, and burns any that have had their stats boosted."
Buzzy Buzz,Electric,Special,15,90,100%,Paralyzes the opponent.
Calm Mind,Psychic,Status,20,—,—,Raises user's Special Attack and Special Defense.
Camouflage,Normal,Status,20,—,—,Changes user's type according to the location.
Captivate,Normal,Status,20,—,100%,Sharply lowers opponent's Special Attack if opposite gender.
Catastropika,Electric,Physical,1,210,—,Pikachu-exclusive Z-Move.
Celebrate,Normal,Status,40,—,—,The Pokémon congratulates you on your special day. No battle effect.
Charge,Electric,Status,20,—,—,Raises user's Special Defense and next Electric move's power increases.
Charge Beam,Electric,Special,10,50,90%,May raise user's Special Attack.
Charm,Fairy,Status,20,—,100%,Sharply lowers opponent's Attack.
Chatter,Flying,Special,20,65,100%,Confuses opponent.
Chip Away,Normal,Physical,20,70,100%,Ignores opponent's stat changes.
Circle Throw,Fighting,Physical,10,60,90%,"In battles, the opponent switches. In the wild, the Pokémon runs."
Clamp,Water,Physical,15,35,85%,"Traps opponent, damaging them for 4-5 turns."
Clanging Scales,Dragon,Special,5,110,100%,Lowers user's Defense.
Clangorous Soul,Dragon,Status,5,—,100%,Raises all user's stats but loses HP.
Clangorous Soulblaze,Dragon,Special,1,185,—,Kommo-o exclusive Z-Move.
Clear Smog,Poison,Special,15,50,—,Removes all of the target's stat changes.
Close Combat,Fighting,Physical,5,120,100%,Lowers user's Defense and Special Defense.
Coaching,Fighting,Status,10,—,—,Boosts Attack and Defense of a teammate.
Coil,Poison,Status,20,—,—,"Raises user's Attack, Defense and Accuracy."
Comet Punch,Normal,Physical,15,18,85%,Hits 2-5 times in one turn.
Confide,Normal,Status,20,—,—,Lowers opponent's Special Attack.
Confuse Ray,Ghost,Status,10,—,100%,Confuses opponent.
Confusion,Psychic,Special,25,50,100%,May confuse opponent.
Constrict,Normal,Physical,35,10,100%,May lower opponent's Speed by one stage.
Continental Crush,Rock,Special,1,—,—,Rock type Z-Move.
Conversion,Normal,Status,30,—,—,Changes user's type to that of its first move.
Conversion 2,Normal,Status,30,—,—,User changes type to become resistant to opponent's last move.
Copycat,Normal,Status,20,—,—,Copies opponent's last move.
Core Enforcer,Dragon,Special,10,100,100%,Scorches a 'Z' pattern on the ground.
Corkscrew Crash,Steel,Special,1,—,—,Steel type Z-Move.
Corrosive Gas,Poison,Status,40,—,100%,Removes opponent's items.
Cosmic Power,Psychic,Status,20,—,—,Raises user's Defense and Special Defense.
Cotton Guard,Grass,Status,10,—,—,Drastically raises user's Defense.
Cotton Spore,Grass,Status,40,—,100%,Sharply lowers opponent's Speed.
Counter,Fighting,Physical,20,—,100%,"When hit by a Physical Attack, user strikes back with 2x power."
Court Change,Normal,Status,10,—,100%,Swaps the effects on either side of the field.
Covet,Normal,Physical,25,60,100%,Opponent's item is stolen by the user.
Crabhammer,Water,Physical,10,100,90%,High critical hit ratio.
Crafty Shield,Fairy,Status,10,—,—,Protects the Pokémon from status moves.
Cross Chop,Fighting,Physical,5,100,80%,High critical hit ratio.
Cross Poison,Poison,Physical,20,70,100%,High critical hit ratio. May poison opponent.
Crunch,Dark,Physical,15,80,100%,May lower opponent's Defense.
Crush Claw,Normal,Physical,10,75,95%,May lower opponent's Defense.
Crush Grip,Normal,Physical,5,—,100%,More powerful when opponent has higher HP.
Curse,Ghost,Status,10,—,—,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Cut,Normal,Physical,30,50,95%,
Dark Pulse,Dark,Special,15,80,100%,May cause flinching.
Dark Void,Dark,Status,10,—,50%,Puts all adjacent opponents to sleep.
Darkest Lariat,Dark,Physical,10,85,100%,Ignores opponent's stat changes.
Dazzling Gleam,Fairy,Special,10,80,100%,Hits all adjacent opponents.
Decorate,Fairy,Status,15,—,—,Sharply raises target's Attack and Special Attack.
Defend Order,Bug,Status,10,—,—,Raises user's Defense and Special Defense.
Defense Curl,Normal,Status,40,—,—,Raises user's Defense.
Defog,Flying,Status,15,—,—,Lowers opponent's Evasiveness and clears fog.
Destiny Bond,Ghost,Status,5,—,—,"If the user faints, the opponent also faints."
Detect,Fighting,Status,5,—,—,"Protects the user, but may fail if used consecutively."
Devastating Drake,Dragon,Special,1,—,—,Dragon type Z-Move.
Diamond Storm,Rock,Physical,5,100,95%,May sharply raise user's Defense.
Dig,Ground,Physical,10,80,100%,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Normal,Status,20,—,100%,Opponent can't use its last attack for a few turns.
Disarming Voice,Fairy,Special,15,40,—,Ignores Accuracy and Evasiveness.
Discharge,Electric,Special,15,80,100%,May paralyze opponent.
Dive,Water,Physical,10,80,100%,"Dives underwater on first turn, attacks on second turn."
Dizzy Punch,Normal,Physical,10,70,100%,May confuse opponent.
Doom Desire,Steel,Special,5,140,100%,Damage occurs 2 turns later.
Double Hit,Normal,Physical,10,35,90%,Hits twice in one turn.
Double Iron Bash,Steel,Physical,5,60,100%,Hits twice in one turn; may cause flinching.
Double Kick,Fighting,Physical,30,30,100%,Hits twice in one turn.
Double Slap,Normal,Physical,10,15,85%,Hits 2-5 times in one turn.
Double Team,Normal,Status,15,—,—,Raises user's Evasiveness.
Double-Edge,Normal,Physical,15,120,100%,User receives recoil damage.
Draco Meteor,Dragon,Special,5,130,90%,Sharply lowers user's Special Attack.
Dragon Ascent,Flying,Physical,5,120,100%,Lowers user's Defense and Special Defense.
Dragon Breath,Dragon,Special,20,60,100%,May paralyze opponent.
Dragon Claw,Dragon,Physical,15,80,100%,
Dragon Dance,Dragon,Status,20,—,—,Raises user's Attack and Speed.
Dragon Darts,Dragon,Physical,10,50,100%,User attacks twice.
Dragon Hammer,Dragon,Physical,15,90,100%,The user uses its body like a hammer to attack the target and inflict damage.
Dragon Pulse,Dragon,Special,10,85,100%,
Dragon Rage,Dragon,Special,10,—,100%,Always inflicts 40 HP.
Dragon Rush,Dragon,Physical,10,100,75%,May cause flinching.
Dragon Tail,Dragon,Physical,10,60,90%,"In battles, the opponent switches. In the wild, the Pokémon runs."
Drain Punch,Fighting,Physical,10,75,100%,User recovers half the HP inflicted on opponent.
Draining Kiss,Fairy,Special,10,50,100%,User recovers most the HP inflicted on opponent.
Dream Eater,Psychic,Special,15,100,100%,User recovers half the HP inflicted on a sleeping opponent.
Drill Peck,Flying,Physical,20,80,100%,
Drill Run,Ground,Physical,10,80,95%,High critical hit ratio.
Drum Beating,Grass,Physical,10,80,100%,Lowers opponent's Speed.
Dual Chop,Dragon,Physical,15,40,90%,Hits twice in one turn.
Dual Wingbeat,Flying,Physical,10,40,90%,The user slams the target with its wings. The target is hit twice in a row.
Dynamax Cannon,Dragon,Special,5,100,100%,Damage doubles if opponent is Dynamaxed.
Dynamic Punch,Fighting,Physical,5,100,50%,Confuses opponent.
Earth Power,Ground,Special,10,90,100%,May lower opponent's Special Defense.
Earthquake,Ground,Physical,10,100,100%,Power is doubled if opponent is underground from using Dig.
Echoed Voice,Normal,Special,15,40,100%,Power increases each turn.
Eerie Impulse,Electric,Status,15,—,100%,Sharply lowers opponent's Special Attack.
Egg Bomb,Normal,Physical,10,100,75%,
Electric Terrain,Electric,Status,10,—,—,Prevents all Pokémon from falling asleep for 5 turns.
Electrify,Electric,Status,20,—,—,Changes the target's move to Electric type.
Electro Ball,Electric,Special,10,—,100%,"The faster the user, the stronger the attack."
Electroweb,Electric,Special,15,55,95%,Lowers opponent's Speed.
Embargo,Dark,Status,15,—,100%,Opponent cannot use items.
Ember,Fire,Special,25,40,100%,May burn opponent.
Encore,Normal,Status,5,—,100%,Forces opponent to keep using its last move for 3 turns.
Endeavor,Normal,Physical,5,—,100%,Reduces opponent's HP to same as user's.
Endure,Normal,Status,10,—,—,"Always left with at least 1 HP, but may fail if used consecutively."
Energy Ball,Grass,Special,10,90,100%,May lower opponent's Special Defense.
Entrainment,Normal,Status,15,—,100%,Makes target's ability same as user's.
Eruption,Fire,Special,5,150,100%,Stronger when the user's HP is higher.
Eternabeam,Dragon,Special,5,160,90%,User can't move on the next turn.
Expanding Force,Psychic,Special,10,80,100%,Increases power and hits all opponents on Psychic Terrain.
Explosion,Normal,Physical,5,250,100%,User faints.
Extrasensory,Psychic,Special,20,80,100%,May cause flinching.
Extreme Evoboost,Normal,Status,1,—,—,Eevee-exclusive Z-Move. Sharply raises all stats.
Extreme Speed,Normal,Physical,5,80,100%,User attacks first.
Facade,Normal,Physical,20,70,100%,"Power doubles if user is burned, poisoned, or paralyzed."
Fairy Lock,Fairy,Status,10,—,—,Prevents fleeing in the next turn.
Fairy Wind,Fairy,Special,30,40,100%,
Fake Out,Normal,Physical,10,40,100%,"User attacks first, foe flinches. Only usable on first turn."
Fake Tears,Dark,Status,20,—,100%,Sharply lowers opponent's Special Defense.
False Surrender,Dark,Physical,10,80,—,Ignores Accuracy and Evasiveness.
False Swipe,Normal,Physical,40,40,100%,Always leaves opponent with at least 1 HP.
Feather Dance,Flying,Status,15,—,100%,Sharply lowers opponent's Attack.
Feint,Normal,Physical,10,30,100%,Only hits if opponent uses Protect or Detect in the same turn.
Feint Attack,Dark,Physical,20,60,—,Ignores Accuracy and Evasiveness.
Fell Stinger,Bug,Physical,25,50,100%,Drastically raises user's Attack if target is KO'd.
Fiery Dance,Fire,Special,10,80,100%,May raise user's Special Attack.
Final Gambit,Fighting,Special,5,—,100%,Inflicts damage equal to the user's remaining HP. User faints.
Fire Blast,Fire,Special,5,110,85%,May burn opponent.
Fire Fang,Fire,Physical,15,65,95%,May cause flinching and/or burn opponent.
Fire Lash,Fire,Physical,15,80,100%,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
Fire Pledge,Fire,Special,10,80,100%,Added effects appear if combined with Grass Pledge or Water Pledge.
Fire Punch,Fire,Physical,15,75,100%,May burn opponent.
Fire Spin,Fire,Special,15,35,85%,"Traps opponent, damaging them for 4-5 turns."
First Impression,Bug,Physical,10,90,100%,"Although this move has great power, it only works the first turn the user is in battle."
Fishious Rend,Water,Physical,10,85,100%,"If the user attacks before the target, the power of this move is doubled."
Fissure,Ground,Physical,5,—,30%,"One-Hit-KO, if it hits."
Flail,Normal,Physical,15,—,100%,"The lower the user's HP, the higher the power."
Flame Burst,Fire,Special,15,70,100%,May also injure nearby Pokémon.
Flame Charge,Fire,Physical,20,50,100%,Raises user's Speed.
Flame Wheel,Fire,Physical,25,60,100%,May burn opponent.
Flamethrower,Fire,Special,15,90,100%,May burn opponent.
Flare Blitz,Fire,Physical,15,120,100%,User receives recoil damage. May burn opponent.
Flash,Normal,Status,20,—,100%,Lowers opponent's Accuracy.
Flash Cannon,Steel,Special,10,80,100%,May lower opponent's Special Defense.
Flatter,Dark,Status,15,—,100%,"Confuses opponent, but raises its Special Attack by two stages."
Fleur Cannon,Fairy,Special,5,130,90%,Sharply lowers user's Special Attack.
Fling,Dark,Physical,10,—,100%,Power depends on held item.
Flip Turn,Water,Physical,20,60,100%,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Floaty Fall,Flying,Physical,15,90,95%,May cause flinching.
Floral Healing,Fairy,Status,10,—,—,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
Flower Shield,Fairy,Status,10,—,—,Sharply raises Defense of all Grass-type Pokémon on the field.
Fly,Flying,Physical,15,90,95%,"Flies up on first turn, attacks on second turn."
Flying Press,Fighting,Physical,10,100,95%,Deals Fighting and Flying type damage.
Focus Blast,Fighting,Special,5,120,70%,May lower opponent's Special Defense.
Focus Energy,Normal,Status,30,—,—,Increases critical hit ratio.
Focus Punch,Fighting,Physical,20,150,100%,"If the user is hit before attacking, it flinches instead."
Follow Me,Normal,Status,20,—,—,"In Double Battle, the user takes all the attacks."
Force Palm,Fighting,Physical,10,60,100%,May paralyze opponent.
Foresight,Normal,Status,40,—,—,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Forest's Curse,Grass,Status,20,—,100%,Adds Grass type to opponent.
Foul Play,Dark,Physical,15,95,100%,Uses the opponent's Attack stat.
Freeze Shock,Ice,Physical,5,140,90%,"Charges on first turn, attacks on second. May paralyze opponent."
Freeze-Dry,Ice,Special,20,70,100%,May freeze opponent. Super-effective against Water types.
Freezy Frost,Ice,Special,15,90,100%,Resets all stat changes.
Frenzy Plant,Grass,Special,5,150,90%,User must recharge next turn.
Frost Breath,Ice,Special,10,60,90%,Always results in a critical hit.
Frustration,Normal,Physical,20,—,100%,Power decreases with higher Friendship.
Fury Attack,Normal,Physical,20,15,85%,Hits 2-5 times in one turn.
Fury Cutter,Bug,Physical,20,40,95%,Power increases each turn.
Fury Swipes,Normal,Physical,15,18,80%,Hits 2-5 times in one turn.
Fusion Bolt,Electric,Physical,5,100,100%,Power increases if Fusion Flare is used in the same turn.
Fusion Flare,Fire,Special,5,100,100%,Power increases if Fusion Bolt is used in the same turn.
Future Sight,Psychic,Special,10,120,100%,Damage occurs 2 turns later.
